Name,Sym,Atomic Number,Group,Crystal Structure,Atomic Weight,Shells,Orbitals,Valence,Melting Point,Boiling Point,Electro-Negativity,Covalent Radius,Ionic Radius,Atomic Radius,Atomic Volume,First Ionization Potential,Second Ionization Potential,Third Ionization Potential,Oxydation States,Density @ 293 K,Specific Heat,Heat of Vaporization,Heat of Fusion,Electrical Conductivity,Thermal Conductivity,Modulus of Elasticity,Coeficient of Thermal Expansion,Lattice parm,Lattice parm,Lattice parm,Pronounced,Name Origin,Description,Discovered By,Year,Location,Sources.,Uses
Dysprosium,Dy,66,Rare Earth,Hexagonal,162.5,"2,8,18,28,8,2", [Xe] 4f10 6s2,3,1412°C,2567°C,1.22,1.59 Å,1.03 (+3) Å,2.49 Å,19.0 cm³/mol,5.9389 V,11.67 V,22.802 V,3,8.536 g/cm³,0.17 J/gK,230.0 kJ/mol,11.060 kJ/mol,0.0108 10^6/cm ohm,0.107 W/cmK,63 10³ MPa,9.6 10^-6 K^-1,3.5904 Å,,5.6477 Å,dis-PRO-si-em,Greek: dysprositos (hard to get at).,"Soft, lustrous, silvery metal.",Paul Émile Lecoq de Boisbaudran,1886,France,"Usually found with erbium, holmium and other rare earths in some minerals such as monazite sand, which is often 50% rare earth by weight.",Its uses are limited to the experimental and esoteric.
Holmium,Ho,67,Rare Earth,Hexagonal,164.93032,"2,8,18,29,8,2", [Xe] 4f11 6s2,3,1474°C,2700°C,1.23,1.58 Å,--,2.47 Å,18.7 cm³/mol,6.0216 V,11.805 V,22.843 V,3,8.80 g/cm³,0.16 J/gK,241.0 kJ/mol,12.20 kJ/mol,0.0124 10^6/cm ohm,0.162 W/cmK,72 10³ MPa,9.8 10^-6 K^-1,3.5774 Å,,5.6160 Å,HOLE-mi-em,"From Holmia, the Latinized name for Stockholm, Sweden.","Fairly soft, malleable, lustrous, silvery metal.",J.L. Soret,1878,Switzerland,Occurs in gadolinite. Most often from monazite which is often 50% rare earth and typically 0.05% holmium.,"It has very few practical applications; however, it has some unusual magnetic properties that offer some hope for future applications."
Erbium,Er,68,Rare Earth,Hexagonal,167.26,"2,8,18,30,8,2", [Xe] 4f12 6s2,3,1529°C,2868°C,1.24,1.57 Å,1.00 (+3) Å,2.45 Å,18.4 cm³/mol,6.1078 V,11.929 V,22.739 V,3,9.05 g/cm³,0.17 J/gK,261.0 kJ/mol,19.90 kJ/mol,0.0117 10^6/cm ohm,0.143 W/cmK,73 10³ MPa,9.4 10^-6 K^-1,3.5589 Å,,5.5876 Å,UR-bi-em,"Named after the Swedish town, Ytterby.","Soft, malleable, silvery metal.",Carl Mosander,1843,Sweden,Found with other heavier rare earths in xenotime and euxerite.,"Erbium oxide is used in ceramics to obtain a pink glaze. Also a few uses in the nuclear industry and as an alloying agent for other exotic metals. For example, it increases the malleability of vanadium."
Thulium,Tm,69,Rare Earth,Hexagonal,168.93421,"2,8,18,31,8,2", [Xe] 4f13 6s2,3,1545°C,1950°C,1.25,1.56 Å,1.09 (+3) Å,2.42 Å,18.1 cm³/mol,6.1843 V,12.054 V,26.367 V," (3),2",9.33 g/cm³,0.16 J/gK,191.0 kJ/mol,16.840 kJ/mol,0.0150 10^6/cm ohm,0.168 W/cmK,76 10³ MPa,12 10^-6 K^-1,3.5346 Å,,5.5548 Å,THOO-li-em,From Thule ancient name of Scandinavia.,"Soft, malleable, ductile, silvery metal",Per Theodor Cleve,1879,Sweden,"Found with other rare earths in the minerals gadolinite, euxenite, xenotime, and monazite. Monazite is often 50% rare earth by weight and 0.007% thulium.","Radioactive thulium is used to power portable x-ray machines, eliminating the need for electrical equipment."
Ytterbium,Yb,70,Rare Earth,Cubic: Face centered,173.04,"2,8,18,32,8,2", [Xe] 4f14 6s2,"2,3",819°C,1196°C,1.1,1.74 Å,.99 (+3) Å,2.40 Å,24.79 cm³/mol,6.2542 V,12.188 V,25.03 V," (3),2",6.98 g/cm³,0.15 J/gK,128.90 kJ/mol,7.660 kJ/mol,0.0351 10^6/cm ohm,0.349 W/cmK,18 10³ MPa,25.1 10^-6 K^-1,5.4864 Å,,,i-TUR-bi-em,Named for the Swedish village of Ytterby.,"Silvery, lustrous, malleable, and ductile metal.",Jean de Marignac,1878,Switzerland,"Found in minerals such as yttria, monazite, gadolinite, and xenotime. Monazite is often 50% rare earth by weight and typically 0.03% ytterbium.",Used in metallurgical and chemical experiments.
Lutetium,Lu,71,Rare Earth,Hexagonal,174.967,"2,8,18,32,9,2", [Xe] 4f14 5d1 6s2,3,1663°C,3402°C,1.27,1.56 Å,.98 (+3) Å,2.25 Å,17.78 cm³/mol,5.4259 V,13.888 V,20.957 V,3,9.85 g/cm³,0.15 J/gK,355.90 kJ/mol,18.60 kJ/mol,0.0185 10^6/cm ohm,0.164 W/cmK,84 10³ MPa,8.2 10^-6 K^-1,3.5032 Å,,5.5511 Å,loo-TEE-shi-em,"Named for the ancient name of Paris, Lutecia.","Silvery-white, hard, dense, rare earth metal.",Georges Urbain,1907,France,Found with ytterbium in gadolinite and xenotime. Usually obtained from monazite sand which is ofter 50% rare earth by weight and 0.003% lutetium.,It has no practical applications.
Hafnium,Hf,72,Transition Metal,Hexagonal,178.49,"2,8,18,32,10,2", [Xe] 4f14 5d2 6s2,4,2227°C,4602°C,1.3,1.44 Å,.83 (+4) Å,2.16 Å,13.6 cm³/mol,6.8251 V,14.925 V,23.32 V,4,13.2 g/cm³,0.14 J/gK,575.0 kJ/mol,24.060 kJ/mol,0.0312 10^6/cm ohm,0.230 W/cmK,139 10³ MPa,5.9 10^-6 K^-1,3.1947 Å,,5.0513 Å,HAF-ni-em,"From Hafnia, the Latin name of Copenhagen.","Silvery, ductile metal.","Dirk Coster, Georg von Hevesy",1923,Denmark,Obtained from mineral zircon or baddeleyite.,Used in reactor control rods because of its ability to absorb neutrons.
Tantalum,Ta,73,Transition Metal,Cubic: Body centered,180.9479,"2,8,18,32,11,2", [Xe] 4f14 5d3 6s2,"3,5",2996°C,5425°C ±100°C,1.5,1.34 Å,.64 (+5) Å,2.09 Å,10.90 cm³/mol,7.89 V,--,--,5,16.6 g/cm³,0.14 J/gK,743.0 kJ/mol,31.60 kJ/mol,0.0761 10^6/cm ohm,0.575 W/cmK,183 10³ MPa,6.3 10^-6 K^-1,3.298 Å,,,TAN-te-lem,"From king Tantalus of Greek mythology, father of Niobe.","Rare, gray, heavy, hard but ductile, metal with a high melting point.",Anders Ekeberg,1802,Sweden,Chiefly occurs in the mineral tantalite. Always found with niobium.,Often used as an economical substitute for platinum. Tantalum pentoxide is used in capacitors and in camera lenses to increase refracting power. It and its alloys are corrosion and wear resistant so it is used to make surgical and dental tools.
Tungsten,W,74,Transition Metal,Cubic: Body centered,183.84,"2,8,18,32,12,2", [Xe] 4f14 5d4 6s2,"2,3,4,5,6",3410°C ±20°C,5660°C,2.36,1.30 Å,.60 (+6) Å,2.02 Å,09.53 cm³/mol,7.98 V,--,--," (6),5,4,3,2",19.3 g/cm³,0.13 J/gK,824.0 kJ/mol,35.40 kJ/mol,0.189 10^6/cm ohm,1.74 W/cmK,401 10³ MPa,4.5 10^-6 K^-1,3.1653 Å,,,TUNG-sten,Swedish: tung sten (heavy stone): symbol from its German name wolfram.,"Hard, steel-gray to white metal. Highest melting point of all metals.",Fausto and Juan José de Elhuyar,1783,Spain,"Occurs in the minerals scheelite (CaWO4) and wolframite [(Fe,Mn)WO4].",Made into filaments for vacuum tubes and electric lights. Also as contact points in cars. Combined with calcium or magnesium it makes phosphors. Tungsten carbide is extremely hard and is used for making cutting tools and abrasives.
Rhenium,Re,75,Transition Metal,Hexagonal,186.207,"2,8,18,32,13,2", [Xe] 4f14 5d5 6s2,"-1,1,2,3,4,5,6,7",3180°C,5627°C (estimated),1.9,1.28 Å,.53 (+7) Å,1.97 Å,08.85 cm³/mol,7.88 V,--,--," (7),6,4,2,-1",21.0 g/cm³,0.13 J/gK,715.0 kJ/mol,33.20 kJ/mol,0.0542 10^6/cm ohm,0.479 W/cmK,461 10³ MPa,6.2 10^-6 K^-1,2.760 Å,,4.458 Å,REE-ni-em,"Latin: Rhenus, the Rhine River.","Rare and costly, dense, silvery-white metal.","Walter Noddack, Ida Tacke, Otto Berg",1925,Germany,Found in small amounts in gadolinite and molybdenite. Has a very high melting point.,Mixed with tungsten or platinum to make filaments for mass spectrographs. Its main value is as a trace alloying agent for hardening metal components that are subjected to continuous frictional forces.
Osmium,Os,76,Transition Metal,Hexagonal,190.23,"2,8,18,32,14,2", [Xe] 4f14 5d6 6s2,"0,3,4,6,8",3054°C,5027°C,2.2,1.26 Å,.63 (+4) Å,1.92 Å,08.49 cm³/mol,8.7 V,--,--,"2,3,(4),6,8",22.40 g/cm³,0.13 J/gK,746.0 kJ/mol,31.80 kJ/mol,0.109 10^6/cm ohm,0.876 W/cmK,550 10³ MPa,5.1 10^-6 K^-1,2.7354 Å,,4.3193 Å,OZ-mi-em,Greek: osmê (odor).,"Hard fine black powder or hard, lustrous, blue-white metal.",Smithson Tenant,1804,England,Obtained from the same ores as platinum.,"Used to tip gold pen points, instrument pivots, to make electric light filaments. Used for high temp. alloys and pressure bearings. Very hard and resists corrosion better than any other."
Iridium,Ir,77,Transition Metal,Cubic: Face centered,192.22,"2,8,18,32,15,2", [Xe] 4f14 5d7 6s2,3,2410°C,4130°C,2.2,1.27 Å,.63 (+4) Å,1.87 Å,08.54 cm³/mol,9.1 V,--,--,"2,3,(4),6",22.42 g/cm³,0.130 J/gK,604.0 kJ/mol,26.10 kJ/mol,0.197 10^6/cm ohm,1.47 W/cmK,533 10³ MPa,6.4 10^-6 K^-1,3.8390 Å,,,i-RID-i-em,Latin: iris (rainbow).,"Heavy, brittle, white metal.","S.Tenant, A.F.Fourcory, L.N.Vauquelin, H.V.Collet-Descoltils",1804,England/France,Found in gravel deposits with platinum.,"Used with osmium to tip gold pen points, to make crucible and special containers. Also to make alloys used for standard weights and measures, and heat-resistant alloys. Also as hardening agent for platinum."
Platinum,Pt,78,Transition Metal,Cubic: Face centered,195.08,"2,8,18,32,17,1", [Xe] 4f14 5d9 6s1,"2,3,4",1772°C,3827°C,2.28,1.30 Å,.63 (+4) Å,1.83 Å,09.10 cm³/mol,9.0 V,18.563 V,--,"2,(4)",21.45 g/cm³,0.13 J/gK,510.0 kJ/mol,19.60 kJ/mol,0.0966 10^6/cm ohm,0.716 W/cmK,175 10³ MPa,8.8 10^-6 K^-1,3.9240 Å,,,PLAT-n-em,Spanish: platina (little silver).,"Rare, very heavy, soft, silvery-white metal.",Julius Scaliger,1735,Italy,"Produced from deposits of native, or elemental, platinum.","Used in jewelry, to make crucible and special containers and as a catalyst. Used with cobalt to produce very strong magnets. Also to make standard weights and measures. Resists corrosion and acid attacks except aqua regia."
Gold,Au,79,Transition Metal,Cubic: Face centered,196.96654,"2,8,18,32,18,1", [Xe] 4f14 5d10 6s1,"1,3",1064.43°C,2808°C,2.54,1.34 Å,.85 (+3) Å,1.79 Å,10.2 cm³/mol,9.2257 V,20.521 V,--," (3),1",19.32 g/cm³,0.128 J/gK,334.40 kJ/mol,12.550 kJ/mol,0.452 10^6/cm ohm,3.17 W/cmK,78.3 10³ MPa,14.2 10^-6 K^-1,4.0786 Å,,,GOLD,Anglo-Saxon: geolo (yellow); symbol from Latin: aurum (shining dawn).,"Soft, malleable, bright yellow metal.",Known to the ancients.,Unknown,Unknown,"Found in veins in the crust, with cooper ore and native .","Very malleable. Used in electronics, jewelry and coins. It is a good reflector of infrared radiation, so a thin film of gold is applied to the glass of skyscrapers to reduce internal heating from sunlight."
Mercury,Hg,80,Metal,Rhombohedral,200.59,"2,8,18,32,18,2", [Xe] 4f14 5d10 6s2,"1,2",-38.87°C,356.58°C,2,1.49 Å,1.02 (+2) Å,1.76 Å,14.82 cm³/mol,10.4375 V,18.759 V,34.202 V," (2),1",13.546 g/cm³,0.139 J/gK,59.229 kJ/mol,2.295 kJ/mol,0.0104 10^6/cm ohm,0.0834 W/cmK,22 10³ MPa,49 10^-6 K^-1,3.005 Å,,a=70° 32',MER-kyoo-ri,From the Roman god Mercury; symbol from Latin: hydrargyrus (liquid silver).,"Heavy, silver-white metal, liquid at ordinary temperatures.",Known to the ancients.,Unknown,Unknown,Virtually all mercury comes from cinnabar or mercury sulfide (HgS). Some sources of red cinnabar are so rich in mercury that droplets of elemental mercury can be found in random samples.,"Used in thermometers, barometers, and batteries. Also used in electrical switches and mercury-vapor lighting products."
Thallium,Tl,81,Metal,Hexagonal,204.3833,"2,8,18,32,18,3", [Xe] 4f14 5d10 6s2 6p1,"1,3",303.5°C,1457°C ±10°C,2.04,1.48 Å,1.59 (+1) Å,2.08 Å,17.2 cm³/mol,6.1083 V,20.428 V,29.829 V,"3,(1)",11.85 g/cm³,0.13 J/gK,164.10 kJ/mol,4.142 kJ/mol,0.0617 10^6/cm ohm,0.461 W/cmK,12 10³ MPa,29.9 10^-6 K^-1,3.4567 Å,,5.5250 Å,THAL-i-em,"Greek: thallos (green twig), for a bright green line in its spectrum.",Soft gray metal that looks like lead.,Sir William Crookes,1861,England,"Found in iron pyrites. Also in crookesite, hutchinsonite and lorandite. Most is recovered from the byproducts of lead and zinc refining.",Its compounds are used in rat and ant poisons. Also for detecting infrared radiation.
Lead,Pb,82,Metal,Cubic: Face centered,207.2,"2,8,18,32,18,4", [Xe] 4f14 5d10 6s2 6p2,"2,4",327.502°C,1740°C,2.33,1.47 Å,1.19 (+2) Å,1.81 Å,18.17 cm³/mol,7.4167 V,15.028 V,31.943 V,"4,(2)",11.34 g/cm³,0.13 J/gK,177.70 kJ/mol,4.799 kJ/mol,0.0481 10^6/cm ohm,0.353 W/cmK,20 10³ MPa,28.8 10^-6 K^-1,4.9504 Å,,,LED,Anglo-Saxon: lead; symbol from Latin: plumbum.,"Very soft, highly malleable and ductile, blue-white shiny metal.",Known to the ancients.,Unknown,Unknown,Found most often in ores called galena or lead sulfide (PbS). Some is found in its native state.,"Used in solder, shielding against radiation and in batteries."
Bismuth,Bi,83,Metal,Rhombohedral,208.98037,"2,8,18,32,18,5", [Xe] 4f14 5d10 6s2 6p3,"3,5",271.3°C,1560°C ±5°C,2.02,1.46 Å,1.03 (+3) Å,1.63 Å,21.3 cm³/mol,7.289 V,16.687 V,25.559 V," (3),5",9.8 g/cm³,0.12 J/gK,104.80 kJ/mol,11.30 kJ/mol,0.00867 10^6/cm ohm,0.0787 W/cmK,34 10³ MPa,13.4 10^-6 K^-1,4.736 Å,,a=57° 14',BIZ-meth,"German: bisemutum, (white mass), Now spelled wismut.","Hard, brittle, steel-gray metal with a pink tint.",Known to the ancients.,Unknown,Unknown,It can be found free in nature and in minerals like bismuthine (Bi2O3) and in bismuth ochre (Bi2O3),Main use is in pharmaceuticals and low melting point alloys used as fuses.
Polonium,Po,84,Metal,Monoclinic,-208.9824,"2,8,18,32,18,6", [Xe] 4f14 5d10 6s2 6p4,"-2,0,2,4,6",254°C,962°C,2,1.46 Å,--,1.53 Å,22.23 cm³/mol,8.4167 V,--,--," (4),2",9.4 g/cm³,0.12 J/gK,--,--,0.0219 10^6/cm ohm,0.20 W/cmK,26 10³ MPa,23 10^-6 K^-1,3.345 Å,,,peh-LOW-ni-em,"Named for Poland, native country of Marie Curie.","Silvery-gray, extremely rare, radioactive metal.",Pierre and Marie Curie,1898,France,Occurs in pitchblende from decay of bismuth.,"Used in industrial equipment that eliminates static electricity caused by such processes as rolling paper, wire, and sheet metal."
Astatine,At,85,Halogen,Unknown,-209.9871,"2,8,18,32,18,7", [Xe] 4f14 5d10 6s2 6p5,"1,3,5,7",302°C,337°C,2.2,1.45 Å,--,1.43 Å,--,9.5 V,--,--," (±1),3,5,7",--,--,--,--,--,0.017 W/cmK,--,--,--,,,AS-teh-teen,Greek: astatos (unstable).,"Unstable, radioactive member of the halogen group.","D.R.Corson, K.R.MacKenzie, E.Segré",1940,United States,Does not occur in nature. Similar to iodine. Produced by bombarding bismuth with alpha particles.,Since its isotopes have such short half-lives there are no commercially significant compounds of astatine.
Radon,Rn,86,Noble Gas,Cubic: Face centered,-222.0176,"2,8,18,32,18,8", [Xe] 4f14 5d10 6s2 6p6,0,-71°C,-61.8°C,0,--,--,1.34 Å,50.5 cm³/mol,10.7485 V,--,--,0,0.00973 g/cm³,0.09 J/gK,16.40 kJ/mol,2.890 kJ/mol,--,0.0000364 W/cmK,--,--,--,,,RAY-don,"Variation of the name of another element, radium.","Colorless, odorless, tasteless, radioactive, heavy, noble gas.",Fredrich Ernst Dorn,1898,Germany,Formed from the decay of radium in the earths crust.,Used to treat some forms of cancer.
Francium,Fr,87,Alkali Metal,Cubic: Body centered,-223.0197,"2,8,18,32,18,8,1", [Rn] 7s1,1,27°C,677°C,0.7,--,--,--,--,--,--,--,1,--,--,--,--,0.03 10^6/cm ohm,0.15 W/cmK,2 10³ MPa,--,--,,,FRAN-si-em,"Named for France, the nation of its discovery.","Highly rare and unstable, radioactive metal.",Marguerite Derey,1939,France,Formed by decay of actinium. Chemical properties similar to cesium. Decays to radium or astatine.,Since its isotopes have such short half-lives there are no commercially significant compounds of francium.
Radium,Ra,88,Alkali Earth Metal,Cubic: Body centered,-226.0254,"2,8,18,32,18,8,2", [Rn] 7s2,2,700°C,1140°C,0.9,--,1.62 (+2) Å,--,45.20 cm³/mol,5.2789 V,10.148 V,--,2,5 g/cm³,0.12 J/gK,--,--,--,0.186 W/cmK,16 10³ MPa,8 10^-6 K^-1,--,,,RAY-di-em,Latin: radius (ray).,Silvery-white metal. Intensely radioactive.,Pierre and Marie Curie,1898,France,Found in uranium ores at 1 part per 3 million parts uranium.,Used in treating cancer because of the gamma rays it gives off.
Actinium,Ac,89,Transition Metal,Cubic: Face centered,-227.0278,"2,8,18,32,18,9,2", [Rn] 6d1 7s2,--,1050°C,3200°C (±300°C),1.1,--,--,--,22.54 cm³/mol,5.17 V,12.126 V,--,3,10.07 g/cm³,--,--,--,--,0.12 W/cmK,34 10³ MPa,--,5.311 Å,,,ak-TIN-i-em,"Greek: akis, aktinos (ray).","Heavy, silvery-white, very radioactive metal",André Debierne,1899,France,"Extremely rare, found in all uranium ores. Usually obtained by treating radium with neutrons in a reactor.",It has no significant commercial applications.
Thorium,Th,90,Rare Earth,Cubic: Face centered,232.0381,"2,8,18,32,18,10,2", [Rn] 6d2 7s2,4,1750°C,4000°C,1.3,1.65 Å,1.05 (+4) Å,--,19.9 cm³/mol,6.08 V,11.504 V,20.003 V,4,11.7 g/cm³,0.12 J/gK,514.40 kJ/mol,16.10 kJ/mol,0.0653 10^6/cm ohm,0.540 W/cmK,73 10³ MPa,11.0 10^-6 K^-1,5.0847 Å,,,THOR-i-em,"Named for Thor, Norse god of thunder.","Heavy, gray, soft, malleable, ductile, radioactive metal.",Jöns Berzelius,1828,Sweden,Found in various minerals like monazite and thorite.,"Used in making strong alloys. Also in ultraviolet photoelectric cells. It is a common ingredient in high-quality lenses. Bombarded with neutrons make uranium-233, a nuclear fuel."
Protactinium,Pa,91,Rare Earth,Orthorhombic,231.03588,"2,8,18,32,20,9,2", [Rn] 5f2 6d1 7s2,"4,5",1600°C,--,1.5,--,--,--,15.0 cm³/mol,5.89 V,--,--," (5),4",15.4 g/cm³,0.12 J/gK,--,12.30 kJ/mol,0.0529 10^6/cm ohm,0.47 W/cmK,100 10³ MPa,9.7 10^-6 K^-1,3.925 Å,,3.238 Å,PRO-tak-tin-eh-em,Greek: proto and actinium (parent of actinium); it forms actinium when it radioactively decays.,"Very rare, silvery-white, extremely radioactive metal.","Fredrich Soddy, John Cranston, Otto Hahn, Lise Meitner",1917,England/France,"Does not occur in nature. Found among fission products of uranium, thorium, and plutonium.",It has no significant commercial applications.
Uranium,U,92,Rare Earth,Orthorhombic,238.0289,"2,8,18,32,21,9,2", [Rn] 5f3 6d1 7s2,"2,3,4,5,6",1132°C,3818°C,1.38,1.42 Å,.81 (+6) Å,--,12.59 cm³/mol,6.1941 V,--,--," (6),5,4,3",18.9 g/cm³,0.12 J/gK,477.0 kJ/mol,8.520 kJ/mol,0.0380 10^6/cm ohm,0.276 W/cmK,186 10³ MPa,13.9 10^-6 K^-1,2.8538 Å,5.8697 Å,4.9550 Å,yoo-RAY-ni-em,Named for the planet Uranus.,"Silvery-white, dense, ductile, malleable, radioactive metal.",Martin Klaproth,1789,Germany,"Occurs in many rocks, but in large amounts only in such minerals as pitchblende and carnotite.",For many centuries it was used as a pigment for glass. Now it is used as a fuel in nuclear reactors and in bombs.
Neptunium,Np,93,Rare Earth,Orthorhombic,-237.0482,"2,8,18,32,22,9,2", [Rn] 5f4 6d1 7s2,"3,4,5,6",640°C,3902°C,1.36,--,--,--,11.62 cm³/mol,6.2657 V,--,--,"6,(5),4,3",20.45 g/cm³,0.12 J/gK,--,5.190 kJ/mol,0.00822 10^6/cm ohm,0.063 W/cmK,900 10³ MPa,28 10^-6 K^-1,6.663 Å,4.723 Å,4.887 Å,nep-TOO-ni-em,Named for the planet Neptune.,"Rare, silvery radioactive metal.","E.M. McMillan, P.H. Abelson",1940,United States,Produced by bombarding uranium with slow neutrons.,It has no significant commercial applications.
Plutonium,Pu,94,Rare Earth,Monoclinic,-244.0642,"2,8,18,32,24,8,2", [Rn] 5f6 7s2,"3,4,5,6",641°C,3232°C,1.28,--,--,--,12.32 cm³/mol,6.06 V,--,--,"6,5,(4),3",19.8 g/cm³,0.13 J/gK,344.0 kJ/mol,2.840 kJ/mol,0.00666 10^6/cm ohm,0.0674 W/cmK,97 10³ MPa,46.7 10^-6 K^-1,6.183 Å,4.822 Å,10.963 Å,ploo-TOE-ni-em,Named for the planet Pluto.,"Silvery-white, extremely radioactive artificially produced metal.","G.T.Seaborg, J.W.Kennedy, E.M.McMillan, A.C.Wohl",1940,United States,Found rarely in some uranium ores. Made by bombarding uranium with neutrons.,Used in bombs and reactors. Small quantities are used in thermo-electric generators.
Americium,Am,95,Rare Earth,Hexagonal,-243.0614,"2,8,18,32,25,8,2", [Rn] 5f7 7s2,"2,3,4,5,6",994°C,2607°C,1.3,--,--,--,17.86 cm³/mol,5.993 V,--,--,"6,5,4,(3)",13.6 g/cm³,0.11 J/gK,--,14.40 kJ/mol,0.022 10^6/cm ohm,0.1 W/cmK,--,7.1 10^-6 K^-1,3.4681 Å,,11.240 Å,am-er-ISH-i-em,"Named for the American continent, by analogy with europium.","Silvery-white, artificially produced radioactive metal.","G.T.Seaborg, R.A.James, L.O.Morgan, A.Ghiorso",1945,United States,Produced by bombarding plutonium with neutrons.,Americium-241 is currently used in smoke detectors.
Curium,Cm,96,Rare Earth,Hexagonal,-247.0703,"2,8,18,32,25,9,2", [Rn] 5f7 6d1 7s2,"3,4",1340°C,--,1.3,--,--,--,18.28 cm³/mol,6.02 V,--,--," (3),4",13.5 g/cm³,--,--,15.0 kJ/mol,--,0.1 W/cmK,--,--,--,,,KYOOR-i-em,Named in honor of Pierre and Marie Curie.,"Silvery, malleable, synthetic radioactive metal.","G.T.Seaborg, R.A.James, A.Ghiorso",1944,United States,Made by bombarding plutonium with helium ions. So radioactive it glows in the dark.,It has no significant commercial applications.
Berkelium,Bk,97,Rare Earth,Unknown,-247.0703,"2,8,18,32,26,9,2", [Rn] 5f9 7s2,"3,4",--,--,1.3,--,--,--,--,6.23 V,--,--,"4,(3)",--,--,--,--,--,0.1 W/cmK,--,--,--,,,BURK-li-em,"Named after Berkeley, California the city of its discovery.",Synthetic radioactive metal.,"G.T.Seaborg, S.G.Tompson, A.Ghiorso",1949,United States,Some compounds have been made and studied. Made by bombarding americium with alpha particles.,It has no significant commercial applications.
Californium,Cf,98,Rare Earth,Unknown,-251.0796,"2,8,18,32,28,8,2", [Rn] 5f10 7s2,--,--,--,1.3,--,--,--,--,6.30 V,--,--,"4,(3)",--,--,--,--,--,0.1 W/cmK,--,--,--,,,kal-eh-FOR-ni-em,Named after the state and University of California.,Synthetic radioactive metal. Powerful neutron emitter.,"G.T.Seaborg, S.G.Tompson, A.Ghiorso, K.Street Jr.",1950,United States,Made by bombarding curium with helium ions.,It has no significant commercial applications.
Einsteinium,Es,99,Rare Earth,Unknown,-252.083,"2,8,18,32,29,8,2", [Rn] 5f11 7s2,--,--,--,1.3,--,--,--,--,6.42 V,--,--," (2),3",--,--,--,--,--,0.1 W/cmK,--,--,--,,,ine-STINE-i-em,Named in honor of the scientist Albert Einstein.,Synthetic radioactive metal.,"Argonne, Los Alamos, U of Calif",1952,United States,Made by bombarding uranium with neutrons.,It has no significant commercial applications.
Fermium,Fm,100,Rare Earth,Unknown,-257.0951,"2,8,18,32,30,8,2", [Rn] 5f12 7s2,--,--,--,1.3,--,--,--,--,6.50 V,--,--,3,--,--,--,--,--,0.1 W/cmK,--,--,--,,,FER-mi-em,Named in honor of the scientist Enrico Fermi.,Synthetic radioactive metal.,"Argonne, Los Alamos, U of Calif",1953,United States,Produced by bombarding lighter transuranium elements with still lighter particles or by neutron capture.,It has no significant commercial applications.
Mendelevium,Md,101,Rare Earth,Unknown,-258.0984,"2,8,18,32,31,8,2", [Rn] 5f13 7s2,"2,3",--,--,1.3,--,--,--,--,6.58 V,--,--,"2,3",--,--,--,--,--,0.1 W/cmK,--,--,--,,,men-deh-LEE-vi-em,"Named in honor of the scientist Dmitri Ivanovitch Mendeleyev, who devised the periodic table.",Synthetic radioactive metal.,"G.T.Seaborg, S.G.Tompson, A.Ghiorso, K.Street Jr.",1955,United States,Made by bombarding einsteinium with helium ions.,It has no significant commercial applications.
Nobelium,No,102,Rare Earth,Unknown,-259.1011,"2,8,18,32,32,8,2", [Rn] 5f14 7s2,--,--,--,1.3,--,--,--,--,6.65 V,--,--,"2,3",--,--,--,--,--,0.1 W/cmK,--,--,--,,,no-BELL-i-em,"Named in honor of Alfred Nobel, who invented dynamite and founded Nobel prize.",Synthetic radioactive metal.,Nobel Institute for Physics,1957,Sweden,Made by bombarding curium with carbon-13,It has no significant commercial applications.
Lawrencium,Lr,103,Rare Earth,Unknown,-262.1098,"2,8,18,32,32,9,2", [Rn] 5f14 6d1 7s2,3,--,--,--,--,--,--,--,--,--,--,3,--,--,--,--,--,0.1 W/cmK,--,--,--,,,lor-ENS-i-em,"Named in honor of Ernest O. Lawrence, inventor of the cyclotron.",Synthetic radioactive metal.,"A.Ghiorso, T.Sikkeland, A.E.Larsh, R.M.Latimer",1961,United States,Produced by bombarding californium with boron ions.,It has no significant commercial applications.
Rutherfordium,Rf,104,Transition Metal,Unknown,-261.1089,"2,8,18,32,32,10,2", [Rn] 5f14 6d2 7s2,--,--,--,--,--,--,--,--,--,--,--,4,--,--,--,--,--,0.23 W/cmK,--,--,--,,,ruth-er-FORD-i-em,Named in honor of Ernest Rutherford,Synthetic radioactive metal.,"A. Ghiorso, et al",1969,United States,"Made by bombarding californium-249 with beams of carbon-12 and 13, which produced an isotope with half lives of 4+ and 3 sec.",It has no significant commercial applications.
Hahnium,Ha,105,Transition Metal,Unknown,-262.1144,"2,8,18,32,32,11,2", [Rn] 5f14 6d3 7s2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.58 W/cmK,--,--,--,,,HA-ni-em,Named in honor of Otto Hahn,Synthetic radioactive metal.,"A. Ghiorso, et al",1970,United States,Made by bombarding californium-249 with a beam of nitrogen-15,It has no significant commercial applications.
Seaborgium,Sg,106,Transition Metal,Unknown,-263.1186,"2,8,18,32,32,12,2", [Rn] 5f14 6d4 7s2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,see-BORG-i-em,"Named in honor of Glenn Seaborg, American physical chemist known for research on transuranium elements.",Synthetic radioactive metal.,Soviet Nuclear Research/ U. of Cal at Berkeley,1974,USSR/United States,Made by bombarding californium-249 with oxygen-18.,It has no significant commercial applications.
